station,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
星置,0,0,0,0,0,0,7.97E-05,8.10E-05,0,0,0
小倉,0,5.97E-05,0,0,5.88E-05,5.80E-05,5.83E-05,0,0,0,0
神辺,0,0.000441112,0,0,0,0,0,0,0,0,0
北信太,0,0,0,0,0,0,0,0,0,0,0
三里木,0,0,0,0,0,0,0,0,0,0,0
鶴ヶ島,0,2.93E-05,0,2.90E-05,0,2.96E-05,0,2.98E-05,0,0,0
伊賀屋,0,0,0,0,0,0,0,0,0,0,0
文挟,0,0,0,0,0,0,0,0,0,0,0
近江八幡,0,0,2.89E-05,2.82E-05,5.72E-05,0,0,0,0,0,0
帝塚山,0,0,0,0,0,0,0,0,0,0,0
我孫子町,0,7.18E-05,0.000142552,0,0,7.62E-05,0.000155135,0,0,0,0
近永,0,0,0,0,0,0,0,0,0,0,0
姉ヶ崎,0,4.67E-05,0.000142356,0.000190785,0,4.80E-05,0,4.80E-05,0,0,0
新瑞橋,0,0,0,0,0,0,0,0,0,0,0
塩屋,0,0,0,0.000140125,7.30E-05,0,0.000145412,0,0,0,0
美濃山崎,0,0,0,0,0,0,0,0,0,0,0
富雄,0,3.43E-05,3.51E-05,0,0,0,0,0,0,0,0
掛川,0,0,0,0,0,0,0,0,0,0,0
矢向,0,0,0,0,0,0,0,0,0,0,0
八幡宿,0,0,8.19E-05,4.08E-05,8.43E-05,0,0,4.20E-05,0,0,0
中庄,0,7.38E-05,7.18E-05,6.98E-05,0,0,0,0,0,0,0
行田,0,0,7.36E-05,0,0,0,7.34E-05,7.39E-05,0,0,0
塚田,0,0,0,7.04E-05,0,6.80E-05,0,6.32E-05,0,0,0
岸里玉出,0,0,0,0,0,0,0,0,0,0,0
樽井,0,0,0,0,0,0,0,0.000124735,0,0,0
秦野,0,0,4.72E-05,2.29E-05,0,0,0,2.31E-05,0,0,0
神奈川新町,0,0,6.07E-05,0,5.75E-05,0,0,0,0,0,0
蓮田,0,4.73E-05,0,0,7.07E-05,2.40E-05,2.38E-05,2.38E-05,0,0,0
足柄,0,0,0,0,0,0,0,0,0,0,0
堺市,0,0,0,4.17E-05,0,0,0,0,0,0,0
山王,0,0,0,0,0,0,0,0,0,0,0
実籾,0,0,0.000130844,4.28E-05,4.29E-05,0.000210367,0,0,0,0,0
築山,0,0,0,0,0,0,0,0,0,0,0
上石神井,0,2.36E-05,6.96E-05,0,0,2.31E-05,0,0,0,0,0
長津田,0,0,8.79E-06,8.63E-06,8.53E-06,0,0,0,0,0,0
北本,0,2.50E-05,2.56E-05,2.56E-05,0,5.17E-05,5.13E-05,5.22E-05,0,0,0
福井,0,0,0,0.00105042,0,0,0.002159827,0,0,0,0
宮崎台,0,2.26E-05,2.25E-05,0,2.22E-05,2.14E-05,0,1.99E-05,0,0,0
十条,0,2.93E-05,1.47E-05,0,0,1.42E-05,0,4.10E-05,0,0,0
石津川,0,0,0,0,0,0,0,0,0,0,0
熊崎,0,0,0,0,0,0,0,0,0,0,0
高槻,0,0,0,1.57E-05,1.59E-05,7.83E-06,7.80E-06,7.75E-06,0,0,0
兵庫,0,2.36E-05,0,0,2.33E-05,0,2.25E-05,4.47E-05,0,0,0
二上,0,0,0.000128816,0,0,0,0,0,0,0,0
十三,0,0,0,0,0,0,0,0,0,0,0
井野,0,0,0,0.000247036,0,0,0,0,0,0,0
西広島,0,5.49E-05,0,0.000108548,0,5.42E-05,5.35E-05,0.000106508,0,0,0
高島,0,0,0,0,0,0,0,0,0,0,0
二俣新町,0,0,0,0,0,0,0,0,0,0,0
三津浜,0,0,0,0.001703578,0.001855288,0,0,0,0,0,0
鯖江,0,0,0,0,0,0,0,0,0,0,0
南砂町,0,0,0,0,0,0,0,0,0,0,0
北上尾,0,3.53E-05,3.47E-05,3.39E-05,0,3.34E-05,3.25E-05,0,0,0,0
西横浜,0,0,7.63E-05,0,0,0,0,0,0,0,0
喜多方,0,0,0,0,0,0,0,0,0,0,0
茅ヶ崎,0,1.83E-05,0,1.82E-05,1.80E-05,1.82E-05,8.99E-06,8.92E-06,0,0,0
千代崎,0,0,0.000482393,0,0.000964785,0,0.000429738,0.000429738,0,0,0
桜台,0,0,0,0,0,0,0,6.90E-05,0,0,0
甚目寺,0,0,0,0,0,0,0,0,0,0,0
神領,0,0,0,0,0,0,0,0,0,0,0
内原,0,0.000233427,0.000225938,0.000200803,0.000384172,0.00038432,0,0,0,0,0
さくら夙川,0,0,6.42E-05,0,0,0,0,0,0,0,0
石仏,0,0,0,0,0,0,0,0,0,0,0
和田河原,0,0,0,0,0,0,0,0,0,0,0
仙台,0,0,0,0,0,0,0,0,0,0,0
近鉄四日市,0,0,0,0,0,0,2.19E-05,0,0,0,0
一志,0,0,0,0,0,0,0,0,0,0,0
鶴ヶ坂,0,0,0,0,0,0,0,0,0,0,0
誉田,0,0,0,0,0.00014782,0,0,0,0,0,0
丸山,0,0,0,0,0,0,0,0,0,0,0
服部天神,0,0,3.90E-05,0,3.83E-05,0.000114125,0,0,0,0,0
波多江,0,0,0,0,0,0,0,0,0,0,0
寺田,0,0,0,0,0,0,0,0,0,0,0
小川郷,0,0,0,0,0,0,0,0,0,0,0
高水,0,0,0,0,0,0,0,0,0,0,0
栢山,0,0,0,0,0,0,0,0,0,0,0
徳田,0,0,0.001156069,0.002531646,0,0,0,0,0,0,0
多摩境,0,0,0,0,0,0,0,9.76E-05,0,0,0
拝島,0,0,0,0,0,0,0,0,0,0,0
高砂,0,0,0,0,0,0,0,0,0,0,0
学芸大学,0,1.44E-05,1.39E-05,1.34E-05,0,0,0,0,0,0,0
木津川台,0,0.001425178,0,0,0,0,0,0,0,0,0
上三緒,0,0,0,0,0,0,0,0,0,0,0
大住,0,0.000319489,0,0,0,0,0,0,0,0,0
東大宮,0,1.64E-05,4.86E-05,1.58E-05,0,6.24E-05,4.60E-05,3.06E-05,0,0,0
久津川,0,0,0,0,0,0,0.000137931,0,0,0,0
八街,0,0,0,8.06E-05,7.95E-05,0,0,0,0,0,0
自由が丘,0,7.16E-06,2.09E-05,0,2.00E-05,6.56E-06,6.56E-06,1.28E-05,0,0,0
東福山,0,0,0,0,0,0,0,0,0,0,0
春日居町,0,0,0,0,0,0,0,0,0,0,0
市来,0,0,0,0,0,0,0,0,0,0,0
新松田,0,0,0,0,0,0,4.07E-05,0,0,0,0
栄,0,0,0,0,0,0,0,0,0,0,0
薬園台,0,7.30E-05,7.05E-05,0,6.83E-05,0.000136129,0,0,0,0,0
六会日大前,0,0,0,3.32E-05,6.73E-05,3.27E-05,0,0,0,0,0
信濃町,0,1.89E-05,1.92E-05,0,0,0,0,1.97E-05,0,0,0
難波,0,0,0,0,4.10E-06,0,0,7.85E-06,0,0,0
札幌,0,0,0,0,0,0,0,0,0,0,0
稲毛,0,0,0,1.01E-05,0,2.02E-05,1.98E-05,0,0,0,0
発寒中央,0,0.000136463,0,0,0.000374438,0,0,0,0,0,0
武蔵小金井,0,2.65E-05,8.82E-06,3.45E-05,2.52E-05,4.21E-05,0,2.46E-05,0,0,0
大塔,0,0,0,0,0,0,0,0,0,0,0
生田,0,0,0,0,0,0,0,0,0,0,0
初芝,0,0,5.59E-05,5.67E-05,5.88E-05,0,0,0,0,0,0
土山,0,0,3.50E-05,0,0.000106511,0,3.46E-05,3.45E-05,0,0,0
山陽天満,0,0,0.000617665,0,0,0,0,0.000562746,0,0,0
入間市,0,0,0,2.79E-05,0,5.83E-05,2.90E-05,0,0,0,0
長瀬,0,6.60E-05,0,0,3.28E-05,3.14E-05,0,6.29E-05,0,0,0
正雀,0,0,0,0,5.32E-05,0,6.36E-05,0,0,0,0
高坂,0,0,0,0,0,0,0,3.89E-05,0,0,0
松尾町,0,0,0,0,0.033333333,0,0,0,0,0,0
新治,0,0,0,0,0,0,0,0,0,0,0
備前田井,0,0,0,0,0,0,0,0,0,0,0
茅野,0,0,0.00014828,0.000141363,0,0,0,0.000131891,0,0,0
近鉄蟹江,0,0,0,0,0,0,0,0,0,0,0
枚岡,0,0,0.0003944,0.0003944,0.0001972,0.000386997,0,0,0,0,0
橋本,0,0.000436936,0.000284576,0.000262985,0,0.000123138,0,0.000115062,0,0,0
柏,0,2.20E-05,5.05E-05,1.42E-05,2.17E-05,1.40E-05,2.07E-05,3.40E-05,0,0,0
南桜井,0,0,0,0,0,0,0,0,0,0,0
一ノ割,0,0,0,0,5.46E-05,0,0,0,0,0,0
辻堂,0,0,9.96E-06,1.84E-05,1.78E-05,0,1.74E-05,0,0,0,0
玉名,0,0,0,0,0,0,0,0,0,0,0
伊予市,0,0,0,0,0,0,0,0,0,0,0
京成八幡,0,3.29E-05,0,0,3.09E-05,3.01E-05,2.89E-05,0,0,0,0
備前西市,0,0.000962001,0.000427533,0,0.000374813,0.000332005,0.000316256,0,0,0,0
大和,0,0,0,0,0,0,0,0,0,0,0
芦花公園,0,7.32E-05,0.000144823,0.000426834,7.05E-05,6.93E-05,6.93E-05,6.86E-05,0,0,0
競艇場前,0,0,0.000377216,0,0,0,0,0,0,0,0
福島高松,0,0,0,0,0,0,0,0,0,0,0
湯本,0,0,0,0,0.000467508,0.000237417,0,0,0,0,0
印場,0,0,0,0,0,0,0,0,0,0,0
沢ノ町,0,0.000123931,0.000122835,0,0,0,0,0,0,0,0
広丘,0,0,0.000215239,0.00041684,0,0.000409333,0,0,0,0,0
飯倉,0,0,0,0,0,0,0,0,0,0,0
南太田,0,0,0,0,0,0,0,0,0,0,0
諏訪ノ森,0,0.00012663,0,0,0,0.000128172,0,0.000124533,0,0,0
桔梗が丘,0,0,0,0,0,0,0,0.000151332,0,0,0
池田,0,0,0,0.001851852,0,0,0.008333333,0,0,0,0
宇宿,0,0,0,0,0,0,0,0,0,0,0
群馬八幡,0,0,0,0,0,0,0,0,0,0,0
千早,0,0,0,0,0,0,0,0,0,0,0
相川,0,0,5.70E-05,0,5.39E-05,0,0,0.000186567,0,0,0
小串,0,0,0,0,0,0,0.001162791,0,0,0,0
日根野,0,0,6.30E-05,0,0,5.92E-05,5.87E-05,0,0,0,0
船橋競馬場,0,0,0,0.000106849,0,0,0,4.85E-05,0,0,0
戸越公園,0,0,0,0,0,0,0,0,0,0,0
都賀,0,0,2.50E-05,4.96E-05,0,0,2.40E-05,2.39E-05,0,0,0
上中里,0,0.000212706,0.000143205,7.17E-05,7.05E-05,6.90E-05,0,6.54E-05,0,0,0
平野,0,0.005059022,0.006144393,0.003294893,0,0.006116208,0,0.005291005,0,0,0
上新庄,0,0,0,0,0,0,4.22E-05,2.10E-05,0,0,0
高野,0,0.000480077,0,0,0,0,0,0,0,0,0
美濃松山,0,0,0,0,0,0,0,0,0,0,0
延岡,0,0,0,0,0,0,0,0,0,0,0
岩沼,0,0,0,0,7.04E-05,0,7.00E-05,0,0,0,0
牛ノ谷,0,0,0,0,0,0,0,0,0,0,0
羽前千歳,0,0,0,0,0,0,0,0,0,0,0
日和田,0,0,0,0,0,0,0,0,0,0,0
守山自衛隊前,0,0,0,0,0,0,0,0,0,0,0
北赤羽,0,0,5.78E-05,2.90E-05,0,0,0,0,0,0,0
くぬぎ山,0,0,0,0,0,0,0,0,0,0,0
下館,0,0,0.000272777,0,0,0.000152393,0.000150286,0,0,0,0
草薙,0,0,0,0,0,0,0,0,0,0,0
仁賀保,0,0.001519757,0,0,0,0,0,0,0,0,0
北鴻巣,0,0,0.000124984,0,0,0,0,0,0,0,0
九条,0,0,9.97E-05,9.25E-05,0,0,7.76E-05,0,0,0,0
南平,0,9.42E-05,9.32E-05,9.15E-05,0,0,0,0,0,0,0
太田,0,0,0,0,0,0,0,0,0,0,0
大網,0,0,0,0,0,0,0,0,0,0,0
妙典,0,0,0,2.14E-05,2.11E-05,0,1.98E-05,1.94E-05,0,0,0
さいたま新都心,0,1.28E-05,0,0,0,0,1.03E-05,3.00E-05,0,0,0
郡山,0,0,0,0,0,0,0,0,0,0,0
徳庵,0,4.98E-05,0,9.95E-05,0,9.63E-05,0,0,0,0,0
東照宮,0,0,0,0.000182815,0,0.000164258,0.00016072,0,0,0,0
西八王子,0,6.45E-05,9.82E-05,1.62E-05,3.16E-05,1.59E-05,0,0,0,0,0
渋谷,0,0,0,0,0,0,0,0,0,0,0
近鉄弥富,0,0,0,0,0,0,0,0,0,0,0
八潮,0,0,0,0,0,0,0,0,0,0,0
六合,0,0,0,0,0,0,0,0,0,0,0
野木,0,8.96E-05,0.000184706,9.35E-05,0,0,0.00019861,0,0,0,0
鹿沼,0,0,0,0,0,0,0,0,0,0,0
白楽,0,0,0,0,0,0,0,0,0,0,0
碧南中央,0,0,0,0,0,0,0,0,0,0,0
土師ノ里,0,0,0,0,0,0,0,0,0,0,0
下高井戸,0,0,0,3.57E-05,0,8.95E-05,0.000105882,5.29E-05,0,0,0
下山門,0,0,0,0,0,0,0,0,0,0,0
韮川,0,0,0,0,0.00043611,0,0,0,0,0,0
稲城,0,0,5.06E-05,4.97E-05,0,0,0,0,0,0,0
成東,0,0,0,0,0,0,0,0,0,0,0
二川,0,0,0,0,0,0,0,0,0,0,0
新大阪,0,0,0,0,0,0,0,0,0,0,0
紫,0,0.000239923,0,0,0.00035868,0,0,0.000167308,0,0,0
浦和,0,0,6.34E-06,6.23E-06,1.19E-05,0,5.70E-06,0,0,0,0
北天下茶屋,0,0,0,0,0,0,0,0,0,0,0
市川本町,0,0,0,0,0,0,0,0,0,0,0
武蔵嵐山,0,0,0.000123396,0,0,0.000129383,0,0,0,0,0
東逗子,0,0,0,0,0,0,0,9.76E-05,0,0,0
山陽魚住,0,0,0,0,0.000541712,0,0,0.000506842,0,0,0
西浜田,0,0,0,0,0,0,0,0,0,0,0
いりなか,0,0,0,0,0,0,0,0,0,0,0
発寒,0,0,0,0,0,0,0,0,0,0,0
安中,0,0,0,0.00026469,0.000265957,0.000271739,0.000275786,0,0,0,0
東金,0,0,0,0,0,0,0,0,0,0,0
長野,0,0,4.79E-05,0,0,0,0,0,0,0,0
秋山,0,0,0,0,0.000157629,0,0.00014573,0.000275976,0,0,0
手柄,0,0,0.001229256,0,0.000570125,0.000548546,0.001075269,0.000529381,0,0,0
国立,0,9.50E-06,4.80E-05,9.49E-06,3.76E-05,9.52E-06,9.39E-06,9.31E-06,0,0,0
井土ヶ谷,0,0,0,0,0,3.54E-05,3.50E-05,3.43E-05,0,0,0
天下茶屋,0,0,0,0,0,0,0,0,0,0,0
幌平橋,0,0.000103135,0,0,0,0,0,0,0,0,0
新井薬師前,0,0,0,4.42E-05,0,0,0,0,0,0,0
西金沢,0,0.000213812,0,0,0,0,0,0,0,0,0
武蔵藤沢,0,0,0,4.24E-05,4.24E-05,0,0,0,0,0,0
桶川,0,0.000129366,3.74E-05,1.87E-05,5.57E-05,3.82E-05,5.72E-05,5.73E-05,0,0,0
天童,0,0,0,0,0,0,0,0,0,0,0
新正,0,0,0,0,0,0,0,0,0,0,0
三浦海岸,0,0,0,0,0,0,0,0,0,0,0
弓ヶ浜,0,0.003389831,0,0,0,0,0,0,0,0,0
取手,0,0,0,0,0,0,0,0,0,0,0
新居浜,0,0,0,0,0.000251256,0.000247893,0.000249875,0,0,0,0
富士見,0,0,0,0,0,0,0,0,0,0,0
三本松,0,0.000603865,0,0,0,0,0.000651042,0,0,0,0
長居,0,0,3.37E-05,0,0,0,6.54E-05,0,0,0,0
東海神,0,0.000173671,0,0,0,0,0,0,0,0,0
木ノ本,0,0,0,0,0,0,0,0,0,0,0
小千谷,0,0,0.000417362,0.000405515,0,0,0,0,0,0,0
羽後長戸呂,0,0,0,0,0,0,0,0,0,0,0
東別府,0,0,0,0,0,0,0,0,0,0,0
須磨海浜公園,0,0.00035097,0.000172816,0.000167043,8.04E-05,0.000156691,0.000153163,0,0,0,0
湯河原,0,0.00016488,0,0,0,0,0,0,0,0,0
北大宮,0,0,0,0,0,0,0,0,0,0,0
新秋津,0,0,1.35E-05,0,0,0,0,1.30E-05,0,0,0
花小金井,0,3.87E-05,7.53E-05,3.69E-05,5.54E-05,3.60E-05,3.54E-05,1.73E-05,0,0,0
西鉄小郡,0,0,0,0,0,0,0,0,0,0,0
新小平,0,0,0,0,0,0,0,0,0,0,0
新宿三丁目,0,0,0,0,0,0,0,0,0,0,0
宇治,0,6.46E-05,0,0,0,0,0,0,0,0,0
興津,0,0,0,0,0,0,0,0,0,0,0
宇頭,0,0,0,0,0,0,0,0,0,0,0
競輪場前,0,0,0,0,0,0,0,0,0,0,0
大泉学園,0,3.67E-05,1.21E-05,1.19E-05,1.20E-05,1.17E-05,3.46E-05,2.27E-05,0,0,0
三河内,0,0,0,0,0,0,0,0,0,0,0
三瀬谷,0,0,0,0,0,0,0,0,0,0,0
北戸田,0,0,0,2.79E-05,0,0,0,0,0,0,0
上北沢,0,0,0,7.05E-05,0.000141683,6.81E-05,6.59E-05,0.000189167,0,0,0
蓬田,0,0,0,0,0,0,0,0,0,0,0
成瀬,0,0,0,0,5.16E-05,0,0,2.64E-05,0,0,0
北鯖江,0,0.001166861,0,0,0,0.001070664,0,0,0,0,0
鹿児島,0,0,0,0,0,0,0,0,0,0,0
苗穂,0,0.000132979,0,0.000125125,0.000119732,0,0,0.00011812,0,0,0
長原,0,0,0,0,0,0,0,0,0,0,0
赤間,0,0,0,0,0,0,0,0,0,0,0
東松山,0,3.35E-05,3.37E-05,3.29E-05,3.38E-05,3.37E-05,0,3.39E-05,0,0,0
武里,0,6.24E-05,0.000123977,0.000122572,6.22E-05,0,0.000186648,0,0,0,0
六地蔵,0,6.91E-05,0,6.53E-05,0,0,0,0,0,0,0
京成津田沼,0,0,0,0,0,0,0,0,0,0,0
西宮北口,0,0,1.03E-05,0,0,1.00E-05,0,0,0,0,0
赤塚,0,9.16E-05,0,0,8.48E-05,8.45E-05,0,8.00E-05,0,0,0
櫛ヶ浜,0,0,0,0,0,0,0.001052632,0,0,0,0
鵜沼宿,0,0,0,0,0,0,0,0,0,0,0
若葉台,0,0,0,0,4.04E-05,0,3.71E-05,0,0,0,0
府中,0,0.000521376,0,0.000569152,0,0,0.000379939,0,0,0,0
竹下,0,0,0,0,0,0,0,0,0,0,0
発寒南,0,0,0,0,0,0,0,0,0,0,0
伯耆溝口,0,0,0,0,0,0,0,0,0,0,0
甲子園口,0,2.63E-05,5.22E-05,2.59E-05,0,7.85E-05,0,0,0,0,0
運河,0,0,0,0,0,0,0,0,0,0,0
塚本,0,6.05E-05,3.02E-05,2.95E-05,0,2.85E-05,2.82E-05,0,0,0,0
柱野,0,0,0,0,0,0,0,0,0,0,0
南仙台,0,0,0,0,0,0,0,5.06E-05,0,0,0
摂津富田,0,5.00E-05,7.49E-05,2.43E-05,4.91E-05,9.73E-05,9.63E-05,0,0,0,0
鍋島,0,0,0,0,0,0,0,0,0,0,0
淡路,0,0,0,0,0,0,0,0,0,0,0
鷹取,0,6.34E-05,6.31E-05,0,6.17E-05,0,0,0,0,0,0
桂川,0,0,0.000128025,0,0,0,0,0,0,0,0
若江岩田,0,0,0,0,0.000132591,6.77E-05,0,0,0,0,0
信濃吉田,0,0,0,0,0,0,0,0,0,0,0
古市橋,0,0,0,0,0,0,0,0,0,0,0
教育大前,0,0,0,0,0,0,0,0,0,0,0
長滝,0,0,0,0,0,0,0,0,0,0,0
岡山,0,0,0,0,0,0,0,0,0,0,0
常盤平,0,5.61E-05,0,0,0,0,5.29E-05,0,0,0,0
新清洲,0,0,0,0,0,0,0,0,0,0,0
河内小阪,0,0,3.66E-05,0,3.66E-05,0,3.60E-05,0,0,0,0
阿波富田,0,0,0,0,0,0,0,0,0,0,0
潮見,0,0,0,4.73E-05,4.40E-05,0,0,0,0,0,0
千種,0,2.00E-05,2.06E-05,0,0,0,0,0,0,0,0
西大路三条,0,0,0,0,0,0,0,0,0,0,0
御宿,0,0,0,0,0,0,0,0,0,0,0
二色浜,0,0,0.000229621,0,0,0,0,0,0,0,0
熊ヶ根,0,0,0,0,0,0,0,0,0,0,0
北鎌倉,0,0,0,0,5.58E-05,0,0,0,0,0,0
香川,0,0,0,0.000101276,0,0,9.84E-05,0,0,0,0
大土呂,0,0,0,0,0,0,0,0,0,0,0
新月,0,0,0,0,0,0,0,0,0,0,0
瓢箪山,0,0,0,0,0,0,0,0,0,0,0
鵜飼,0,0,0,0,0,0,0,0,0,0,0
目黒,0,0,0,0,0,0,0,0,0,0,0
京成稲毛,0,0,0.000321854,0,0,0,0,0.000142898,0,0,0
代々木八幡,0,5.14E-05,0,0,0,0,4.87E-05,0,0,0,0
金上,0,0,0,0,0,0,0,0,0,0,0
福井口,0,0,0,0,0,0,0,0,0,0,0
久寿川,0,0,0.000253421,0.000243309,0,0,0,0.00021925,0,0,0
鶴瀬,0,0,2.38E-05,0,0,0,0,2.02E-05,0,0,0
南大塚,0,6.49E-05,6.31E-05,6.14E-05,0,6.23E-05,0,0,0,0,0
四日市,0,0,0,0,0,0,0,0,0,0,0
桜,0,0,0,0,0,0,0,0,0,0,0
磐田,0,0,0,0,0,0,0,0,0,0,0
日ノ出町,0,3.70E-05,0,0,0,0,3.57E-05,3.52E-05,0,0,0
鴨居,0,2.61E-05,0,3.90E-05,2.55E-05,3.86E-05,1.27E-05,1.26E-05,0,0,0
雲雀丘花屋敷,0,0,0,0,0,0,0,0,0,0,0
八王子,0,0,0,0,0,0,0,0,0,0,0
等々力,0,0,0,0,0,0,0,0,0,0,0
河内松原,0,0,0,0,3.43E-05,0,0,0,0,0,0
幸田,0,0,0,0,0,0,0,0,0,0,0
萱島,0,0,0,0,0,0,3.85E-05,8.56E-05,0,0,0
上福岡,0,1.89E-05,1.86E-05,3.65E-05,0,0,0,1.76E-05,0,0,0
治良門橋,0,0,0,0,0,0,0,0,0,0,0
天拝山,0,0,0,0,0,0,0,0,0,0,0
箕浦,0,0,0.029411765,0,0,0.027777778,0.033333333,0,0,0,0
新狭山,0,4.65E-05,4.63E-05,4.65E-05,0,0,4.64E-05,9.33E-05,0,0,0
名電山中,0,0,0,0,0,0,0,0,0,0,0
深田,0,0,0,0,0,0,0,0,0,0,0
平塚,0,2.50E-05,1.67E-05,2.47E-05,2.44E-05,2.50E-05,8.25E-06,0,0,0,0
けやき台,0,0,0,0,0,0,0,0,0,0,0
野々市,0,0,0,0,0.013157895,0,0.012987013,0,0,0,0
恵我ノ荘,0,0,9.42E-05,0,0,0,9.26E-05,0,0,0,0
行徳,0,0,0,1.83E-05,1.83E-05,1.78E-05,0,0,0,0,0
高根木戸,0,0,0.000125141,0,0.000248694,0.000122369,0,0.00011885,0,0,0
下松,0,0,0.000221043,0,0.000224417,0.000219298,0.000437828,0.000424538,0,0,0
笠岡,0,0,0.000135245,0.000133351,0,0,0,0,0,0,0
下曽根,0,0,0,0,0,0,0,0,0,0,0
清洲,0,0,0,0,0,0,0,0,0,0,0
秋葉原,0,0,0,0,0,0,0,0,0,0,0
海老名,0,0,0,9.99E-05,4.73E-05,4.66E-05,0,3.93E-05,0,0,0
大船,0,5.34E-06,1.07E-05,2.62E-05,5.15E-06,5.19E-06,0,5.04E-06,0,0,0
検見川,0,0.000283688,0,0,0,0.000256476,0,0,0,0,0
南行徳,0,4.09E-05,2.03E-05,0,0,1.90E-05,0,0,0,0,0
和泉大宮,0,0,0,0.000205634,0,0,0,0,0,0,0
京成臼井,0,4.54E-05,4.58E-05,0,0,4.74E-05,9.60E-05,0,0,0,0
家久,0,0,0,0,0,0.003846154,0,0,0,0,0
谷津,0,9.07E-05,0.000179775,8.94E-05,0,0,0,0.000275078,0,0,0
中島,0,0,0,0,0,0,0,0,0,0,0
矢野,0,0,0,0,6.28E-05,0,0,0,0,0,0
梅田,0,2.41E-06,2.36E-06,2.32E-06,2.28E-06,4.52E-06,0,0,0,0,0
天王寺,0,0,0,0,0,0,0,0,0,0,0
下野大沢,0,0,0,0,0,0,0,0,0,0,0
矢板,0,0,0,0,0,0,0.000173551,0.000176866,0,0,0
石刀,0,0,0,0,0,0,0,0,0,0,0
田町,0,0,0,0,0,0,0,0,0,0,0
水沼,0,0,0,0,0,0,0,0,0,0,0
飯給,0,0,0,0,0,0,0,0,0,0,0
麻植塚,0,0,0.004132231,0,0,0,0,0,0,0,0
桜ヶ丘,0,5.03E-05,9.85E-05,0,0,9.71E-05,0,0,0,0,0
山崎,0,0,0,0,0,0,0,0,0,0,0
山ノ内,0,0,0,0,0.5,0,0.5,0,0,0,0
つきのわ,0,0,0,0,0,0,0,0,0,0,0
霞ヶ関,0,3.50E-05,3.42E-05,0.00016843,0.000173509,0.000135833,6.70E-05,3.33E-05,0,0,0
吉浜,0,0,0,0,0,0,0,0,0,0,0
九産大前,0,0,0,0,0,0,0,0,0,0,0
鷺ノ宮,0,0,0,0,3.34E-05,0,0,0,0,0,0
人吉温泉,0,0,0,0,0,0,0,0,0,0,0
信太山,0,0,0,0,0,0,0,0.000254033,0,0,0
久地,0,0,0,0,0,0,0,0,0,0,0
稀府,0,0,0,0,0,0,0,0,0,0,0
木曽川,0,0,0,0,0,0,0,0,0,0,0
若狭有田,0,0,0,0,0,0,0,0,0,0,0
青葉,0,0,0,0,0,0,0,0,0,0,0
山陽曽根,0,0,0,0.000362845,0.00074599,0,0,0,0,0,0
近鉄下田,0,0,0,0,0,0.000215983,0,0,0,0,0
日比谷,0,0,0,0,0,0,0,1.16E-05,0,0,0
東武練馬,0,0,3.36E-05,1.66E-05,1.69E-05,5.01E-05,0,1.65E-05,0,0,0
西登戸,0,0,0,0,0,0,0.000388048,0,0,0,0
藤沢,0,9.78E-06,1.47E-05,4.79E-06,9.41E-06,4.75E-06,1.86E-05,4.62E-06,0,0,0
新高島,0,0,0,0,0,0,0,0.00016442,0,0,0
拓北,0,0,0,0,0,0,0,0,0,0,0
朝倉街道,0,0,0,0,0,0,0,0,0,0,0
瀬々串,0,0,0,0,0,0,0,0,0,0,0
守口市,0,0,0,0,0,0,0,0,0,0,0
下大利,0,0,0,0,6.45E-05,0,0,6.54E-05,0,0,0
東陽町,0,0,0,0,0,0,0,0,0,0,0
堀切,0,0,0,0,0,0,0,0,0,0,0
幕張本郷,0,1.92E-05,3.86E-05,0,0,0,0,0,0,0,0
水海道,0,0,0,0,0.000337724,0.000340252,0,0,0,0,0
伊予寒川,0,0.004464286,0,0,0,0,0,0,0,0,0
酒々井,0,0.000161551,0,0.000320616,0,0.000297442,0,0,0,0,0
伏屋,0,0,0,0,0,0,0,0,0,0,0
馬橋,0,0,0,2.06E-05,0,0,2.00E-05,1.98E-05,0,0,0
生駒,0,0,2.10E-05,0,0,0,0,0,0,0,0
逗子,0,0,0,1.72E-05,0,0,0,0,0,0,0
東松原,0,0,0,0,0,0,0,0,0,0,0
仁豊野,0,0,0,0,0,0,0.000479386,0,0,0,0
南方,0,0,0,7.10E-05,4.71E-05,4.69E-05,0.000137502,0,0,0,0
河内花園,0,0,0,0,0,0,0,0,0,0,0
朝霞,0,0,1.60E-05,1.56E-05,1.56E-05,0,1.49E-05,1.45E-05,0,0,0
田代,0,0,0,0,0,0,0,0,0,0,0
高幡不動,0,0,0.000154012,0,0,7.38E-05,7.25E-05,7.26E-05,0,0,0
越前開発,0,0,0,0,0,0,0,0,0,0,0
岩根橋,0,0,0,0,0,0,0,0,0,0,0
いずみ野,0,0,0,0,0,0,0,0,0,0,0
美章園,0,0,0.000206548,0,9.57E-05,0,0,0,0,0,0
鳴尾,0,0,4.18E-05,0,4.16E-05,0,0,0,0,0,0
六原,0,0,0,0,0,0,0,0,0,0,0
新今宮,0,0,1.19E-05,0,2.31E-05,0,0,2.10E-05,0,0,0
丹波竹田,0,0,0,0,0,0.003144654,0,0,0,0,0
南中郷,0,0,0.000793651,0.000789889,0,0,0,0,0,0,0
島松,0,0,0,0,0,0,0.00026001,0,0,0,0
